8.4177 -2.97069
10.2992 -4.69951
10.4817 -5.0158
5.36129 -0.607735
5.69709 -0.7227
5.17048 -0.6165
8.61867 -3.03895
10.3514 -4.89957
5.9162 -0.962924
11.4107 -5.96498
8.31886 -2.86635
9.01183 -3.48912
7.77086 -2.36554
5.03044 -0.403665
11.5195 -6.10264
11.934 -6.45412
9.22675 -3.94011
8.58017 -3.02987
10.9455 -5.47805
11.6706 -6.17377
7.75897 -2.26059
9.12227 -3.70853
11.2436 -5.79269
11.8646 -6.57953
8.35691 -2.86698
11.2661 -5.69396
11.4461 -5.97784
11.1254 -5.59673
11.1471 -5.77949
8.60172 -3.2508
11.1841 -5.8146
11.4673 -6.15766
8.22134 -2.62116
11.327 -5.86821
11.7231 -6.07131
7.5868 -2.20157
